location_id,location_type,location_name,lat,long
108,college,J. Sargeant Reynolds Community College - Downtown Campus,37.5456155356243,-77.4313238730772
109,college,Strayer University  - Virginia Beach Campus,36.842600402107,-76.1339269961169
110,college,Southwest Virginia Community College,37.0056495175619,-81.7951528848548
111,college,Liberty University,37.3505286384422,-79.1819236953661
112,college,Hampden-Sydney College,37.2449813581669,-78.4557063912452
113,college,National College - Charlottesville Campus,38.0592836039511,-78.494542140216
114,college,Edward Via College of Osteopathic Medicine,37.1996755640853,-80.4061468410961
115,college,University of Virginia's College at Wise,36.9706638713515,-82.5589449260697
116,college,Germanna Community College - Locust Grove Campus,38.3752765905194,-77.7802945926086
117,college,New College Institute,36.691987689896,-79.8725046004006
118,college,Virginia Military Institute,37.7897991414967,-79.434875750746
119,college,Thomas Nelson Community College - Historic Triangle Campus,37.241979760362,-76.6607824136369
120,college,Central Texas College,37.2333299460816,-77.3434022141632
121,college,Tidewater Community College - Chesapeake Campus,36.7253513310922,-76.2944593869198
122,college,Strayer University - Loudoun,39.0490667826591,-77.4380700088585
123,college,J. Sargeant Reynolds Community College - Western Campus,37.6947501396519,-77.8811929556891
124,college,IGlobal University,38.8335413644969,-77.211256151554
125,college,Shenandoah University,39.1660739509148,-78.1582208308639
126,college,Bridgewater College,38.37886450977,-78.9706974920082
127,college,Rappahannock Community College - Glenns Campus,37.5643522319207,-76.623828021637
128,college,Central Michigan University - Fort Lee Center,37.2237974655872,-77.3478122837432
129,college,Centura College - Richmond Main Campus,37.4991079913561,-77.5420368058455
130,college,Northeast State at Johnson City,36.3173606028736,-82.3519176504707
131,college,DeVry University - Arlington Campus,38.8510227010777,-77.050555279923
132,college,Washington and Lee University,37.7877851850204,-79.4456352618744
133,college,Central Michigan University - Joint Base Myer Center,38.8758733500209,-77.0820347178455
134,college,Union Presbyterian Seminary,37.5790052165085,-77.4468442548871
135,college,Virginia Tech - Richmond Center,37.627922533951,-77.5505619086217
136,college,Park University - Henderson Hall,38.8690397385127,-77.0737803780758
137,college,Old Dominion University - Quantico Campus,38.5064975521934,-77.3094156240968
138,college,Bryant and Stratton College - Virginia Beach Campus,36.8288917074859,-76.137170622165
139,college,National College of Business and Technology - Bristol Campus,36.5896823903131,-82.2664108948059
140,college,Virginia Commonwealth University,37.5485859026538,-77.4531815592978
141,college,Argosy University,38.8942391630296,-77.0758933153371
142,college,Eastern Mennonite University,38.4711538302946,-78.8803770123837
143,college,Strayer University - Henrico,37.6879533062706,-77.5911835811408
144,college,Central Texas College - Quantico Campus,38.5064772224298,-77.3094191203399
145,college,Old Dominion University - Richmond Campus,37.602445938865,-77.5484202405427
146,college,Appalachian College of Pharmacy,37.2778573656491,-82.0958895533523
147,college,Patrick Henry College,39.1398699067362,-77.6902593101206
148,college,Central Michigan University - Pentagon Center,38.870790200105,-77.0561035149679
149,college,National College - Lynchburg Campus,37.3513783757775,-79.2287008011802
150,college,University of Mary Washington,38.3006639343139,-77.4745378122151
151,college,George Washington University Graduate Education Center - Arlington,38.8821743296115,-77.1031661224472
152,college,Eastern Virginia Medical School,36.8613420031851,-76.3013688624709
153,college,Eastern Shore Community College,37.6406709425038,-75.7505643154589
154,college,George Washington University Graduate Education Center - Alexandria,38.8048218781798,-77.0613686729004
155,college,Northeast State at Gray,36.3968561330166,-82.4845772844195
156,college,University of Maryland University College - Quantico Campus,38.5064975521934,-77.3094156240968
157,college,Dabney S. Lancaster Community College,37.8124581239105,-79.8517510308008
158,college,Stratford University - Woodbridge Campus,38.6550854092352,-77.3104213105152
159,college,University of Richmond,37.5742477084046,-77.5400526537584
160,college,Stratford University - Washington DC Metro Campus,38.9074936710339,-77.2144120400466
161,college,Strayer University - Woodbridge,38.6582045316965,-77.3028960254638
162,college,Radford University,37.1383432116645,-80.5512384749592
163,college,Strayer University - Chesterfield,37.4548458233112,-77.6494419728545
164,college,Virginia Highlands Community College,36.6987353090473,-82.00192917835
165,college,Northern Virginia Community College - Woodbridge Campus,38.6185658605702,-77.2935554347677
166,college,Florida Institute of Technology - NCR Graduate Center,38.5078447820094,-77.3090907977816
167,college,Virginia International University,38.8594964364679,-77.3335310748671
168,college,Virginia Wesleyan College,36.8688088866085,-76.188351178772
169,college,College of William and Mary,37.2723140619846,-76.7112949255064
170,college,Southern Virginia University,37.740523716432,-79.3501032914691
171,college,Strayer University - Chesapeake,36.7648498052747,-76.2599453159999
172,college,King College,36.5872419143115,-82.1630914956778
173,college,University of Mary Washington School of Graduate and Professional Studies,38.3705192877591,-77.531482982866
174,college,Longwood University,37.3009387441372,-78.3956930103683
175,college,Old Dominion University - Peninsula Higher Education,37.0620730056212,-76.4149645455798
176,college,Northern Virginia Community College - Manassas Campus,38.8094239079993,-77.5174887803333
177,college,Strayer University - Fredericksburg,38.3376768418674,-77.497761030194
178,college,California University of Management and Sciences,38.8796899512002,-77.112543139828
179,college,Sweet Briar College,37.5564496703345,-79.0788022921132
180,college,Averett University - Quantico Campus,38.5064772224298,-77.3094191203399
181,college,Northern Virginia Community College - Alexandria Campus,38.8403922211171,-77.1154057274821
182,college,Pikeville College,37.4814128307937,-82.5197593767206
183,college,Northern Virginia Community College - Quantico Campus,38.5064975521934,-77.3094156240968
184,college,Advanced Technology Institute - Southern Boulevard,36.8417316791186,-76.1819499969581
185,college,National Institute of Aerospace Headquarters,37.0825915982982,-76.3983245772616
186,college,Piedmont Virginia Community College - Eugene Giuseppe Center,38.2969216954767,-78.4380563105092
187,college,James Madison University,38.4379581937387,-78.8729767629384
188,college,Rappahannock Community College - Warsaw Campus,37.9570245125,-76.7622168616346
189,college,Mary Baldwin University,38.1519922484952,-79.0702524461409
190,college,Baptist Theological Seminary at Richmond,37.5792242397201,-77.4519242359037
191,college,Stratford University- Virginia Beach Campus,36.8241803333486,-76.1292513773525
192,college,George Mason University,38.8323548130028,-77.3083936718835
