name,@lat,@lon
Tropical Smoothie Cafe,36.9151920,-76.2533539
The Coffee Bar,38.9142677,-77.0282722
Snow Cafe,39.2711628,-76.8256724
Starbucks,39.6004812,-75.7493875
Davenport Coffee Lounge,38.9359533,-77.0884386
The Perch,38.9361535,-77.0913193
Bobby's Deli,39.3725110,-76.6087412
Starbucks,38.4804673,-82.6438919
CUP Tea Bar & Cafe,39.5751360,-76.9957328
JeannieBird Baking Company,39.5761732,-76.9967519
Mary Anne's Theme Teas,39.6592573,-77.1759960
Riverside Roastery & Espresso,39.2279424,-76.8149983
Milli Joe Coffee & Gelato,38.0334838,-78.4842523
Starbucks,38.8994390,-77.0486350
Lot 38 Espresso Bar,38.8776800,-77.0036710
Cafe Bagel,39.2099159,-76.7791430
Benny's Bagel Shop,39.3876870,-76.7342210
Starbucks,39.1221511,-77.2352033
Dunkin' Donuts,39.1794825,-77.2379928
Crabapples Delicatessen,39.4143538,-77.4123393
Sunrise Cafe,39.4130234,-77.4099592
Mad City Coffee,39.2095954,-76.8857868
The Galleria,38.3030626,-77.4589938
Mutt + Joe,39.0815426,-76.5824220
Cafe EZ,39.2807570,-76.8180270
Honey Baked Ham and Cafe,39.0771548,-76.5462216
Cafe Mezzanotte,39.0665577,-76.5371719
Panera Bread,38.8999833,-77.0214137
Bayou Bakery,38.8910254,-77.0836416
Starbucks,38.8847370,-77.1741412
Starbucks,38.9158562,-77.0676486
Starbucks,37.0686783,-76.4918860
Starbucks,38.8941630,-77.4477200
Peet's Coffee & Tea,39.4970470,-76.6545720
Coffee Cake Cafe,39.1600148,-78.1646475
Joe Muggs Coffee,39.1595202,-78.1687411
Daily Grind,39.1562778,-78.1571245
Starbucks,39.1862361,-78.1313106
City Bagels,39.1867413,-78.1486323
Aviation Deli & Grill,39.1752738,-76.6478766
Dunkin' Donuts,38.8063946,-77.0581952
Starbucks,36.8754143,-76.4393899
Starbucks,38.8070006,-77.0596523
Starbucks,38.8582600,-77.0496510
Starbucks,38.9003632,-77.0414664
Starbucks,38.8667022,-77.2257292
New Deal Cafe,39.0013451,-76.8765289
Starbucks,38.8122042,-77.1841289
Greenberry's Coffee Company,38.9339723,-77.1807016
Starbucks Coffee,38.9294980,-77.0325030
Starbucks,37.4468048,-79.2175968
Starbucks,39.0623792,-77.4702158
Dunkin' Donuts,38.7860586,-77.6499159
Wegmans Cafe,38.7837911,-77.6530570
Starbucks,38.7753610,-77.5020728
Starbucks,39.1701810,-76.7852200
Lulu Cafe,38.8365763,-77.4263118
Dunkin' Donuts,38.7716921,-77.5069221
Pound The Hill,38.8849549,-76.9976581
Tropical Smoothie Cafe,38.7383477,-77.5341199
Starbucks,38.7393509,-77.5328634
Starbucks,38.9014970,-77.0333740
Starbucks,38.9015320,-77.0292150
Starbucks,37.2962673,-80.0277184
Starbucks,38.8166642,-77.6436116
Dunkin' Donuts,38.9454927,-77.4498204
Dream Cafe,38.7859040,-77.5115415
Dunkin Donuts,38.7509004,-77.5707967
SweetFrog,38.7862581,-77.5173873
The Coffee Shoppe,36.8355050,-76.2994993
Starbucks,39.0143436,-77.3724207
Atlas Coffee,38.0257058,-78.5157346
Sylvan Cafe,38.9153462,-77.0125825
Starbucks,38.7996702,-77.3195974
Mon Amour,38.8956757,-77.0267236
Dunkin' Donuts,38.7697937,-77.4895511
Corner Bakery,38.8963164,-77.0093591
Starbucks,38.4702533,-77.4115097
Starbucks,39.3067004,-76.6192558
Starbucks,38.7401683,-77.2129762
Highlands Cafe,38.9475252,-77.0329911
