X,Y,OBJECTID,GPIN,NAME,ADDRESS,WEB_LINK,SP_Y,SP_X,LATI,LONG_,SUB_CATEGORY,NOTE_
-76.179796480100478,36.764841373981184,476,14642653720000,Charlestown Lakes South Park West,1053 KINDERLY LN,,3446289.86994013,12162504.644938,36.76484137,-76.17979648,City Park,
-76.172467704212394,36.809705975512728,477,14664209950000,Chatham Hall Park,5364 CHATHAM HALL DR,,3462672.26073171,12164248.1191413,36.80970598,-76.1724677,City Park,
-76.055611759154601,36.894760892868618,478,14997464970000,Chelsea/Greenhill Park,2532 QUEENS ELM PL STE P1,,3494493.62228571,12197645.7649443,36.89476089,-76.05561176,City Park,
-76.044174884165969,36.868913719986878,479,24081531460000,Colonial Oaks Park,1254 PARKSIDE PL,,3485173.03134689,12201233.8847366,36.86891372,-76.04417488,City Park,
-76.142187484854759,36.787509084909857,480,14753438400000,Coventry Park,4757 ARDMORE LN,,3454813.19442888,12173311.9386121,36.78750908,-76.14218748,City Park,
-76.159926894062693,36.851196346540931,481,14677758620000,Northridge Park,5210 CONDOR ST,,3477864.38159414,12167543.9895181,36.85119635,-76.15992689,City Park,
-76.010977600620521,36.608710090689272,482,23185942740000,Creeds Ath. Airfield Park,1585 CAMPBELLS LANDING RD,,3390723.96565221,12213439.196612,36.60871009,-76.0109776,City Park,
-75.968165442874934,36.825294336526539,483,,Croatan Beach Park,500 ATLANTIC AV,,3469884.89558463,12223886.8850341,36.82529434,-75.96816544,City Park,
-76.169196286984331,36.872821992215158,484,14684566670000,Cypress Point North Park,1100 FALLBROOK BND,,3485668.46080221,12164638.2522193,36.87282199,-76.16919629,City Park,
-76.054960040399138,36.850168086917144,485,14978832580000,Deerwood Trace Park,2540 REAGAN AVE,,3478268.4365603,12198256.7345229,36.85016809,-76.05496004,City Park,
-76.168848642562651,36.900889779776861,486,14692634760000,Diamond Springs Park,5610 HADEN RD,,3495886.91575897,12164487.5930718,36.90088978,-76.16884864,City Park,
-76.073283136251106,36.836473850573455,487,14973301630000,Doyle Way Park,,,3473145.89923322,12193025.3276629,36.83647385,-76.07328314,City Park,
-76.137533496624059,36.805547645112817,488,14764144840000,Dunbarton Park,4468 PADDOCK LN,,3461412.77014047,12174510.0582631,36.80554765,-76.1375335,City Park,
-76.061936253589337,36.839465651193841,489,14976432290000,Eureka Park,2600 SOUTHERN BLVD,,3474320.35620189,12196316.7974579,36.83946565,-76.06193625,City Park,
-76.172493527183548,36.817910993251026,490,14664516780000,Fairfield Park,717 ROSAER CIR,,3465658.4873708,12164166.9168759,36.81791099,-76.17249353,City Park,
-76.180602431505406,36.82210829476783,491,14661781330000,Fairfield Forest Park,5380 HARGROVE BLVD,,3467127.78430097,12161756.4174318,36.82210829,-76.18060243,City Park,
