name,@lat,@lon
Base Line Brews,38.8725594,-77.0064754
Red Porch,38.8738395,-77.0073095
Encore Ultra Lounge,37.5361151,-77.4342089
KAI,37.5356359,-77.4339996
Grand Cata,38.9107240,-77.0222000
McClafferty's Irish Pub,39.6308167,-79.9576605
Butts and Betty's Tavern,39.2881521,-76.5858468
Old Bust Head Brewing Company,38.7440342,-77.6757940
Rock Wall,38.6734561,-80.7749943
2 Birds 1 Stone,38.9142512,-77.0323441
Sotto,38.9115533,-77.0323597
Diet Starts Monday,38.9172638,-77.0316361
Muddie Waters,39.5419200,-82.4208710
The Max Bar and Grill,39.5424630,-82.4214880
Home Tavern,39.5382360,-82.4169440
Crystal Bar,39.5374410,-82.3928340
Growling Bear Brewing Company,38.6508307,-77.3088137
Barcode,37.5447481,-77.4424473
Denson,38.8971320,-77.0202003
Union Drinkery,38.9305184,-77.0236671
Penn Commons,38.8987596,-77.0201233
The Local,37.5460205,-77.4557648
The Rogue Gentlemen,37.5488208,-77.4376850
Appel's Gateway,39.6482725,-78.7709839
Muzette,38.9198032,-77.0415129
The Winery at La Grange,38.8508817,-77.6861043
Finnigan's Cove,38.4486648,-78.8697616
Ruby's Arcade,38.4476489,-78.8697416
Ground Floor Lounge,38.7328303,-79.9698664
Hair of the Dog Bottle Shop,37.2714113,-76.7059890
Barcode,38.9039033,-77.0380051
Jack Brown's,37.5731996,-77.5189257
Beijing on Grove,37.5732107,-77.5177308
Blue Valley Vineyard And Winery,38.8919089,-77.9013582
Spare Times Bar and Grill,36.6885859,-78.8801664
Quench,39.0916838,-77.2041649
Sliders Bar and Grill,39.2856465,-76.6225963
Hive Bar,38.8971909,-77.0497819
r.bar,39.3216710,-76.6221426
Taps Fill Station,39.2960171,-76.6187529
Cherry Blossom Pub,38.9151076,-77.0216537
Mezzos Tavern,39.6506524,-78.7604156
Smiling Skull,39.3292654,-82.1051494
Cat's Den,39.3293172,-82.1052309
The Passenger,38.9107097,-77.0217148
Suburbia,38.9082261,-76.9971669
World of Beer,39.0841986,-77.1503243
The Riggsby,38.9133369,-77.0396171
The Naked Olive Lounge,39.6282662,-78.2273336
Hillbilly Heaven,39.6298023,-78.1759536
Tyber Creek,38.9154232,-77.0119424
Bin 1301,38.9171459,-77.0306168
Top of the Yard Rooftop Bar & Bites,38.8748376,-77.0064153
Kiss,38.9157192,-77.0213818
Caroline's Bar,39.0168213,-77.0893363
The Brig,38.8778261,-76.9952839
,38.9875708,-77.3680686
Eat-Bar,38.8831986,-76.9951878
ANXO Cidery & Tasting Room,38.9565206,-77.0228637
The Codmother,38.9167747,-77.0309828
The Rye Bar,38.9040146,-77.0613312
18th Street Lounge,38.9062223,-77.0421331
Rosebar,38.9064031,-77.0411812
Off The Record,38.9028416,-77.0388280
Gazuza,38.9119108,-77.0443476
The Dirty Goose,38.9172384,-77.0246152
Barcelona,38.9120384,-77.0324486
Kingfisher DC,38.9094395,-77.0321972
Trade,38.9092778,-77.0321905
PostScript,38.9053837,-77.0343021
Le Bar,38.9003972,-77.0339200
Republic Restoratives Distillery,38.9153108,-76.9852841
Sing Sing Karaoke Bar,38.9003606,-76.9893681
Atlas Brew Works,38.9148494,-76.9813086
Murray Hill Club,38.9148077,-76.9815312
Pinea,38.8967307,-77.0333211
Franklin Hall,38.9200515,-77.0312484
bar247,39.1569068,-76.6092250
Columbia Room,38.9063714,-77.0244364
Bardo Brewpub,38.8701326,-77.0074084
The Laughing Pint,39.2885097,-76.5674064
